,Timestamp,ms
126,2019-04-28 14:17:15.070242,31.201
127,2019-04-28 14:17:16.137845,31.999
128,2019-04-28 14:17:17.203390,85.159
129,2019-04-28 14:17:18.328169,7.896
130,2019-04-28 14:17:19.371493,30.714
131,2019-04-28 14:17:20.437230,33.341
132,2019-04-28 14:17:21.504439,8.374
133,2019-04-28 14:17:22.542531,34.175
134,2019-04-28 14:17:23.612051,32.537
135,2019-04-28 14:17:24.679749,32.076
136,2019-04-28 14:17:25.750674,7.787
137,2019-04-28 14:17:26.795036,33.531
138,2019-04-28 14:17:27.863868,52.709
139,2019-04-28 14:17:28.949763,33.663
140,2019-04-28 14:17:30.017385,4.677
141,2019-04-28 14:17:31.062269,31.787
142,2019-04-28 14:17:32.131370,31.4
143,2019-04-28 14:17:33.197408,8.012
144,2019-04-28 14:17:34.234223,32.44
145,2019-04-28 14:17:35.301467,34.803
146,2019-04-28 14:17:36.369520,45.586
147,2019-04-28 14:17:37.446766,54.965
148,2019-04-28 14:17:38.535922,34.211
149,2019-04-28 14:17:39.599366,34.026
150,2019-04-28 14:17:40.663689,32.51
151,2019-04-28 14:17:41.727168,35.081
152,2019-04-28 14:17:42.799899,32.094
153,2019-04-28 14:17:43.867844,31.95
154,2019-04-28 14:17:44.934525,4.38
155,2019-04-28 14:17:45.971059,32.408
156,2019-04-28 14:17:47.035072,7.759
157,2019-04-28 14:17:48.076929,12.527
158,2019-04-28 14:17:49.123824,33.061
159,2019-04-28 14:17:50.193561,6.965
160,2019-04-28 14:17:51.235302,11.884
161,2019-04-28 14:17:52.283755,34.138
162,2019-04-28 14:17:53.355053,31.958
163,2019-04-28 14:17:54.421952,7.209
164,2019-04-28 14:17:55.463296,30.173
165,2019-04-28 14:17:56.523542,32.573
166,2019-04-28 14:17:57.584900,49.681
167,2019-04-28 14:17:58.668269,32.697
168,2019-04-28 14:17:59.736425,48.331
169,2019-04-28 14:18:00.813141,32.055
170,2019-04-28 14:18:01.876728,32.02
171,2019-04-28 14:18:02.943725,7.546
172,2019-04-28 14:18:03.989185,32.017
173,2019-04-28 14:18:05.060993,37.564
174,2019-04-28 14:18:06.133428,44.921
175,2019-04-28 14:18:07.209693,32.226
176,2019-04-28 14:18:08.279508,33.687
177,2019-04-28 14:18:09.349544,45.367
178,2019-04-28 14:18:10.427811,29.492
179,2019-04-28 14:18:11.490788,33.503
180,2019-04-28 14:18:12.557795,36.847
181,2019-04-28 14:18:13.639239,3.978
182,2019-04-28 14:18:14.677379,37.318
183,2019-04-28 14:18:15.747706,33.913
184,2019-04-28 14:18:16.813077,7.611
185,2019-04-28 14:18:17.858058,108.466
186,2019-04-28 14:18:19.003643,31.486
187,2019-04-28 14:18:20.075674,17.991
188,2019-04-28 14:18:21.127581,42.196
189,2019-04-28 14:18:22.201839,31.709
190,2019-04-28 14:18:23.270478,32.926
191,2019-04-28 14:18:24.340273,36.098
192,2019-04-28 14:18:25.411547,28.429
193,2019-04-28 14:18:26.477258,34.502
194,2019-04-28 14:18:27.540787,31.854
195,2019-04-28 14:18:28.604004,35.896
196,2019-04-28 14:18:29.677438,36.863
197,2019-04-28 14:18:30.748148,31.883
198,2019-04-28 14:18:31.813383,9.62
199,2019-04-28 14:18:32.854832,34.43
200,2019-04-28 14:18:33.922185,10.013
201,2019-04-28 14:18:34.966389,32.227
202,2019-04-28 14:18:36.036708,13.319
203,2019-04-28 14:18:37.083835,33.053
204,2019-04-28 14:18:38.154896,8.423
205,2019-04-28 14:18:39.206648,32.075
206,2019-04-28 14:18:40.274720,33.378
207,2019-04-28 14:18:41.338175,32.463
208,2019-04-28 14:18:42.409538,32.347
209,2019-04-28 14:18:43.481694,13.115
210,2019-04-28 14:18:44.526982,33.303
211,2019-04-28 14:18:45.602479,8.352
212,2019-04-28 14:18:46.645817,36.848
213,2019-04-28 14:18:47.712603,32.706
214,2019-04-28 14:18:48.780559,35.578
215,2019-04-28 14:18:49.852244,36.15
216,2019-04-28 14:18:50.923985,34.177
217,2019-04-28 14:18:51.996022,32.438
218,2019-04-28 14:18:53.067318,40.124
219,2019-04-28 14:18:54.141308,32.447
220,2019-04-28 14:18:55.208563,7.724
221,2019-04-28 14:18:56.247148,31.794
222,2019-04-28 14:18:57.310160,27.276
223,2019-04-28 14:18:58.372683,8.078
224,2019-04-28 14:18:59.417820,31.708
225,2019-04-28 14:19:00.483262,10.53
226,2019-04-28 14:19:01.526388,9.859
227,2019-04-28 14:19:02.570028,31.713
